x,y,cadmium,copper,lead,zinc,elev,dist,om,ffreq,soil,lime,landuse,dist.m,log_zinc,optional,mean,sd,X0.025quant,X0.5quant,X0.975quant,pr2
179120,330578,1.2,31,73,206,9.041,0.287966,6.9,3,1,0,W,380,5.32787616878958,TRUE,5.8228158224224,0.14962543058711,5.52736448564767,5.82337008001476,6.11511567186573,0.915462156478212
179034,330561,2,27,146,451,7.86,0.233596,7,3,1,0,W,310,6.11146733950268,TRUE,6.18192155849175,0.138806044223187,5.90934769956875,6.18193536250296,6.4544322638561,0.915462156478212
179085,330433,1.5,29,95,296,8.741,0.364067,5.4,3,1,0,Ah,430,5.69035945432406,TRUE,5.7960898465985,0.138885002516589,5.52226166051911,5.79646446688437,6.06773694332356,0.915462156478212
179236,330046,1.1,22,72,189,7.822,0.331454,6.2,3,1,0,Ah,370,5.24174701505964,TRUE,5.32304439559425,0.185449572870887,4.9590259958431,5.32303973346012,5.68718471776703,0.915462156478212
179456,330072,0.8,20,51,154,7.78,0.211846,5,3,1,0,Fw,290,5.03695260241363,TRUE,5.19625876422503,0.202669355193452,4.80085004389016,5.19541234578618,5.59640731353282,0.915462156478212
179550,329940,0.8,20,54,169,8.121,0.103029,5.1,3,1,0,W,150,5.12989871492307,TRUE,5.43175978793502,0.22069437934369,5.00525844849116,5.42948505504859,5.87050801515734,0.915462156478212
179445,329807,2.1,29,136,403,8.231,0.070355,8.1,3,1,0,Bw,70,5.99893656194668,TRUE,6.00209747758821,0.201394773469376,5.60676360942108,6.00205160460427,6.39774880251307,0.915462156478212
179337,329870,2.5,38,170,471,8.351,0.146576,8,3,1,0,Bw,220,6.15485809401642,TRUE,5.93839058947028,0.190223435390544,5.56650260095033,5.93791264774531,6.31311805169629,0.915462156478212
179245,329714,3.8,39,179,612,7.3,0.0537723,8.8,3,1,0,W,80,6.41673228251233,TRUE,6.40395932540155,0.210859487924204,5.98896304650169,6.40431536999321,6.8170080081451,0.915462156478212
179024,329733,3.2,35,200,601,7.536,0.119286,9.3,3,1,0,W,120,6.39859493453521,TRUE,6.33155293234763,0.210344858308566,5.9175919998326,6.33188996574826,6.74364795278315,0.915462156478212
178786,329822,3.1,42,258,783,7.706,0.0921435,8.4,3,1,0,Ah,120,6.6631326959908,TRUE,6.55161060038399,0.228488276023247,6.09924970871312,6.55286258529156,6.99711244515397,0.915462156478212
179135,329890,1.5,24,93,258,8.07,0.249863,7.7,3,1,0,Am,260,5.55295958492162,TRUE,5.68103130101869,0.200613635640925,5.28757326827355,5.68089742593019,6.07522809039322,0.915462156478212
179030,330082,1.2,20,68,214,8.226,0.37494,5.7,3,1,0,Ah,440,5.36597601502185,TRUE,5.45516248396949,0.197028283529048,5.06880636167724,5.4550031458893,5.84237539804942,0.915462156478212
179184,330182,0.8,20,49,166,8.128,0.423837,4.7,3,1,0,Am,540,5.11198778835654,TRUE,5.27716786034881,0.172956393281961,4.9375034725523,5.27721646620079,5.61668146114161,0.915462156478212
179085,330292,3.1,39,173,496,8.577,0.423837,9.1,3,1,0,Ah,520,6.20657592672493,TRUE,5.75134374030388,0.200507726480813,5.36191275338054,5.75018950315007,6.14676918626793,0.915462156478212
178875,330311,2.1,31,119,342,8.429,0.27709,6.5,3,1,0,Ah,350,5.8348107370626,TRUE,5.87838370976222,0.190668783508998,5.50395177942011,5.87841796737429,6.25270056449452,0.915462156478212
179466,330381,0.8,21,51,162,9.406,0.358606,5.7,3,1,0,W,460,5.08759633523238,TRUE,5.11534855423234,0.207644667849355,4.70835897762045,5.11504734604059,5.52400899654302,0.915462156478212
180627,330190,2.7,27,124,375,8.261,0.0122243,5.5,3,3,0,W,40,5.92692602597041,TRUE,6.14629032768948,0.241723511165541,5.68089320475366,6.14280195820443,6.63093472703952,0.915462156478212
